"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
 , ,Alepocephalidae,,137,96,2
 , ,Platytroctidae,,49,40,0
 , ,Leptochilichthyidae,,4,3,0
 , ,Lepidogalaxiidae,,1,1,0
 , ,Osmeridae,,46,14,0
 , ,Plecoglossidae,,3,1,0
 , ,Salangidae,,28,18,0
 , ,Retropinnidae,,18,6,0
 , , ,Retropinninae,15,4,0
 , , ,Prototroctinae,3,2,0
 , ,Galaxiidae,,136,66,13
 , , ,Aplochitoninae,6,4,0
 , , ,Galaxiinae,130,62,13
 ,Salmoniformes,,,,,
 , ,Salmonidae,,762,226,16
 , , ,Coregoninae,305,86,0
 , , ,Thymallinae,41,15,3
 , , ,Salmoninae,413,125,13
 ,Stomiiformes,,,,,
 , ,Gonostomatidae,,52,33,0
 , ,Sternoptychidae,,98,76,2
 , , ,Maurolicinae,37,32,1
 , , ,Sternoptychinae,61,44,1
 , ,Phosichthyidae,,31,24,0
 , ,Stomiidae,,423,301,15
 , , ,Chauliodontinae,17,9,0
 , , ,Stomiinae,30,11,0
 , , ,Astronesthinae,84,60,1
 , , ,Melanostomiinae,262,204,10
 , , ,Malacosteinae,19,14,4
 , , ,Idiacanthinae,11,3,0
 ,Ateleopodiformes,,,,,
 , ,Ateleopodidae,,17,13,1
 ,Aulopiformes,,,,,
 , ,Aulopidae,,19,12,3
 , ,Chlorophthalmidae,,23,20,2
 , ,Paraulopidae,,15,14,3
 , ,Ipnopidae,,46,33,0
 , ,Bathysauroididae,,1,1,0
 , ,Scopelarchidae,,25,18,0
 , ,Notosudidae,,17,17,0
 , ,Giganturidae,,6,2,0
 , ,Synodontidae,,143,74,15
 , , ,Synodontinae,100,49,13
 , , ,Harpadontinae,43,25,2
 , ,Bathysauridae,,5,2,0
 , ,Paralepididae,,91,59,0
 , ,Anotopteridae,,5,3,0
 , ,Evermannellidae,,14,8,0
 , ,Omosudidae,,4,1,0
 , ,Alepisauridae,,10,2,0
 , ,Pseudotrichonotidae,,2,2,0
 ,Myctophiformes,,,,,
 , ,Neoscopelidae,,10,6,0
 , ,Myctophidae,,395,251,0
 ,Lampriformes,,,,,
 , ,Lampridae,,9,2,0
 , ,Veliferidae,,4,2,0
 , ,Lophotidae,,11,5,0
 , ,Radiicephalidae,,1,1,0
 , ,Trachipteridae,,54,11,0
 , ,Regalecidae,,24,3,0
 , ,Stylephoridae,,1,1,0
 ,Polymixiiformes,,,,,
 , ,Polymixiidae,,14,10,0
 ,Percopsiformes,,,,,
 , ,Percopsidae,,5,2,0
 , ,Aphredoderidae,,5,1,0
 , ,Amblyopsidae,,12,9,1
 ,Gadiformes,,,,,
 , ,Muraenolepididae,,9,8,4
 , ,Bregmacerotidae,,18,14,0
 , ,Euclichthyidae,,1,1,0
 , ,Macrouridae,,489,408,18
 , , ,Bathygadinae,30,27,0
 , , ,Macrouroidinae,3,2,0
 , , ,Trachyrincinae,8,7,0
 , , ,Macrourinae,447,372,18
 , ,Moridae,,156,107,0
 , ,Melanonidae,,5,2,0
 , ,Gadidae,,116,23,0
 , ,Lotidae,,87,22,0
 , ,Phycidae,,43,11,0
 , ,Merlucciidae,,52,21,1
 , , ,Merlucciinae,50,20,1
 , , ,Steindachneriinae,1,1,0
 ,Ophidiiformes,,,,,
 , ,Ophidiidae,,318,264,21
 , , ,Brotulinae,17,6,0
 , , ,Brotulotaeniinae,4,4,0
 , , ,Ophidiinae,84,65,8
 , , ,Neobythitinae,212,188,13
 , ,Carapidae,,74,35,2
 , , ,Carapinae,67,29,1
 , , ,Pyramodontinae,6,5,0
 , , ,Tetragondacninae,1,1,1
 , ,Bythitidae,,224,209,62
 , , ,Bythitinae,106,95,21
 , , ,Brosmophycinae,118,114,41
 , ,Aphyonidae,,26,24,2
 , ,Parabrotulidae,,4,3,0
 ,Batrachoidiformes,,,,,
 , ,Batrachoididae,,131,84,4
 , , ,Porichthyinae,18,15,0
 , , ,Thalassophryninae,16,11,0
 , , ,Batrachoidinae,34,24,0
 , , ,Halophryninae,56,34,4
 ,Lophiiformes,,,,,
 , ,Lophiidae,,59,29,4
 , ,Antennariidae,,173,51,5
 , ,Tetrabrachiidae,,2,2,1
 , ,Lophichthyidae,,1,1,0
 , ,Brachionichthyidae,,16,14,10
 , ,Chaunacidae,,27,25,10
 , ,Ogcocephalidae,,106,75,10
 , ,Caulophrynidae,,10,5,0
 , ,Neoceratiidae,,1,1,0
 , ,Melanocetidae,,25,6,0
 , ,Himantolophidae,,29,22,2
 , ,Diceratiidae,,7,6,0
 , ,Oneirodidae,,125,68,6
 , ,Thaumatichthyidae,,9,8,0
 , ,Centrophrynidae,,1,1,0
 , ,Ceratiidae,,21,4,0
 , ,Gigantactinidae,,28,23,0
 , ,Linophrynidae,,48,27,0
 ,Gobiesociformes,,,,,
 , ,Gobiesocidae,,266,167,16
 , , ,Gobiesocinae,252,156,14
 , , ,Cheilobranchinae,14,11,2
 ,Atheriniformes,,,,,
 , ,Atherinidae,,141,75,6
 , , ,Atherinomorinae,58,33,4
 , , ,Craterocephalinae,32,27,1
 , , ,Atherininae,50,14,0
 , , ,Bleheratherininae,1,1,1
 , ,Bedotiidae,,16,16,2
 , ,Melanotaeniidae,,128,103,31
 , ,Pseudomugilidae,,21,18,0
 , ,Atherinopsidae,,188,109,0
 , , ,Atherinopsinae,76,29,0
 , , ,Menidiinae,112,80,0
 , ,Notocheiridae,,2,1,0
 , ,Isonidae,,5,5,0
 , ,Telmatherinidae,,18,18,1
 , ,Dentatherinidae,,1,1,0
 , ,Phallostethidae,,26,23,2
 ,Cyprinodontiformes,,,,,
 , ,Aplocheilidae,,31,14,4
 , ,Nothobranchiidae,,386,271,51
 , ,Rivulidae,,458,415,132
 , ,Profundulidae,,12,8,2
 , ,Fundulidae,,103,41,1
 , ,Valenciidae,,3,3,1
 , ,Goodeidae,,72,48,1
 , , ,Empetrichthyinae,10,4,0
 , , ,Goodeinae,62,44,1
 , ,Poeciliidae,,509,360,41
 , , ,Poeciliinae,394,276,36
 , , ,Procatopodinae,79,62,5
 , , ,Aplocheilichthyinae,36,22,0
 , ,Cyprinodontidae,,219,134,16
 , , ,Cubanichthyinae,2,2,0
 , , ,Cyprinodontinae,217,132,16
 , ,Anablepidae,,27,18,2
 , , ,Anablepinae,26,17,2
 , , ,Oxyzygonectinae,1,1,0
 ,Beloniformes,,,,,
 , ,Scomberesocidae,,21,5,0
 , ,Belonidae,,156,41,2
 , ,Hemiramphidae,,132,61,1
 , ,Zenarchopteridae,,86,61,6
 , ,Exocoetidae,,169,66,3
 , ,Adrianichthyidae,,41,37,9
 , , ,Oryziinae,37,33,9
 , , ,Adrianichthyinae,4,4,0
 ,Stephanoberyciformes,,,,,
 , ,Stephanoberycidae,,5,4,0
 , ,Hispidoberycidae,,1,1,0
 , ,Melamphaidae,,76,65,15
 , ,Gibberichthyidae,,3,2,0
 ,Beryciformes,,,,,
 , ,Monocentridae,,7,4,0
 , ,Trachichthyidae,,60,48,4
 , ,Anomalopidae,,10,9,1
 , ,Diretmidae,,5,4,0
 , ,Anoplogastridae,,4,2,0
 , ,Berycidae,,16,10,0
 , ,Holocentridae,,221,85,1
 , , ,Holocentrinae,131,41,1
 , , ,Myripristinae,89,44,0
 ,Cetomimiformes,,,,,
 , ,Rondeletiidae,,2,2,0
 , ,Barbourisiidae,,1,1,0
 , ,Cetomimidae,,32,30,0
 ,Zeiformes,,,,,
 , ,Cyttidae,,6,3,0
 , ,Oreosomatidae,,17,10,0
 , , ,Pseudocyttinae,2,1,0
 , , ,Oreosomatinae,15,9,0
 , ,Parazenidae,,6,4,0
 , , ,Parazeninae,1,1,0
 , , ,Cyttopsinae,5,3,0
 , ,Zeniontidae,,9,7,0
 , ,Grammicolepididae,,8,3,0
 , , ,Macrurocyttinae,1,1,0
 , , ,Grammicolepidinae,7,2,0
 , ,Zeidae,,14,6,1
 ,Incertae sedis,,,,,
 , ,Elassomatidae,,8,7,1
 ,Gasterosteiformes,,,,,
 , ,Hypoptychidae,,4,2,0
 , ,Gasterosteidae,,99,19,1
 , ,Aulorhynchidae,,2,1,0
 , ,Indostomidae,,3,3,0
 , ,Pegasidae,,14,5,0
 ,Syngnathiformes,,,,,
 , ,Aulostomidae,,9,3,0
 , ,Fistulariidae,,14,4,0
 , ,Centriscidae,,41,12,0
 , , ,Macroramphosinae,28,8,0
 , , ,Centriscinae,13,4,0
 , ,Solenostomidae,,11,6,0
 , ,Syngnathidae,,666,341,13
 , , ,Syngnathinae,544,268,6
 , , ,Hippocampinae,122,73,7
 ,Synbranchiformes,,,,,
 , ,Synbranchidae,,62,24,1
 , ,Mastacembelidae,,139,85,14
 , ,Chaudhuriidae,,10,10,1
 ,Scorpaeniformes,,,,,
 , ,Sebastidae,,212,134,5
 , , ,Sebastinae,200,124,1
 , , ,Sebastolobinae,12,10,4
 , ,Setarchidae,,15,6,0
 , ,Neosebastidae,,20,18,1
 , ,Scorpaenidae,,377,225,20
 , , ,Scorpaeninae,319,194,14
 , , ,Caracanthinae,9,4,0
 , , ,Pteroinae,48,27,6
 , ,Apistidae,,12,3,0
 , ,Tetrarogidae,,77,40,0
 , ,Synanceiidae,,72,35,0
 , , ,Minoinae,21,12,0
 , , ,Choridactylinae,23,13,0
 , , ,Synanceiinae,28,10,0
 , ,Eschmeyeridae,,1,1,0
 , ,Perryenidae,,1,1,0
 , ,Aploactinidae,,57,49,6
 , ,Pataecidae,,6,3,0
 , ,Gnathanacanthidae,,4,1,0
 , ,Congiopodidae,,18,7,0
 , ,Dactylopteridae,,26,7,0
 , ,Plectrogeniidae,,2,2,0
 , ,Parabembridae,,2,2,0
 , ,Bembridae,,9,9,0
 , ,Triglidae,,225,126,4
 , ,Peristediidae,,73,45,4
 , ,Hoplichthyidae,,17,17,3
 , ,Platycephalidae,,153,85,15
 , ,Anoplopomatidae,,5,2,0
 , ,Hexagrammidae,,33,12,0
 , , ,Hexagramminae,25,6,0
 , , ,Pleurogramminae,3,2,0
 , , ,Ophiodontinae,2,1,0
 , , ,Oxylebiinae,1,1,0
 , , ,Zaniolepidinae,2,2,0
 , ,Normanichthyidae,,1,1,0
 , ,Rhamphocottidae,,1,1,0
 , ,Ereuniidae,,3,3,0
 , ,Bathylutichthyidae,,2,2,1
 , ,Cottidae,,480,264,13
 , ,Cottocomephoridae,,2,0,0
